Year,Model Name,Series,Color,Window Color,Interior Color,Country
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Light Blue,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Blue,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Aqua,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Turquoise,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Green,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Olive,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Lime,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Antifreeze,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Yellow,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Gold,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Orange,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Copper,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Brown,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Red,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Rose,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Magenta,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Creamy 'Lavender' Pink,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Hot Pink,Clear,White,USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Purple,Clear,"White, Gray or Dark Brown",USA
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Blue,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Aqua,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Green,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Olive,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Orange,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Copper,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Red,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Creamy 'Lavender' Pink,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Beatnik Bandit,Sweet Sixteen,Spectraflame Purple,Tinted (Blue),"White, Gray or Dark Brown",Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Light Blue,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Blue,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Aqua,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Green,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Olive Green,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Antifreeze,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Gold,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Copper,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Red,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Rose,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Creamy 'Lavender' Pink,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Purple,Clear,Several,USA
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Light Blue,Tinted (Blue),Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Blue,Tinted (Blue),Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Aqua,Tinted (Blue),Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Green,Tinted (Blue),Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Olive Green,Tinted (Blue),Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Copper,Tinted (Blue),Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Orange,Tinted (Blue),Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Red,Tinted (Blue),Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Creamy 'Lavender' Pink,Tinted (Blue),Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Purple,Tinted (Blue),Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Blue,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Aqua,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Green,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Antifreeze,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Gold,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Orange,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Rose,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Purple,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Blue,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Aqua,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Green,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Antifreeze,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Gold,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Orange,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Rose,Clear,Several,Hong Kong
1968,Custom Barracuda (1968),Sweet Sixteen,Spectraflame Purple,Clear,Several,Hong Kong
2011,Custom Barracuda (1968),RLC Membership,Chrome,Clear,Black,Thailand
2011,Custom Barracuda (1968),RLC Membership,Spectraflame red,Clear,Black,Thailand
2011,Custom Barracuda (1968),RLC Membership,Spectraflame blue,Clear,Black,Thailand
2011,Custom Barracuda (1968),RLC Membership,Spectraflame purple,Clear,Black,Thailand
2014,Custom Barracuda (1968),14th Annual Hot Wheels Nationals Convention 4/4,Metallic Burgundy,Clear,Black,Thailand
2016,Custom Barracuda (1968),HWC.com Series 14: Real Riders 4/4,Spectraflame antifreeze,Clear,Green,China
2018,Custom Barracuda (1968),Original 16,Spectraflame blue,Tinted (Pale Blue),Black,China
2018,Custom Barracuda (1968),HWC.com Original 16 Display,Spectraflame antifreeze,Tinted (Pale Blue),Cream,China
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Blue,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Blue,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame AntiFreeze,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Lime,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Green,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Red,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Antifreeze,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Medium Blue,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Olive,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Aqua,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Lime,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Purple,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Red,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Rose,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Light Blue,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Creamy Pink,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Copper,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Orange,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Gold,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Dark Brown,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Enamel White,Clear,,USA
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Blue,Blue tint,Blue,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Blue,Blue tint,Blue,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Antifreeze,Blue tint,Dark Green,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Blue,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Orange,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Aqua,Blue tint,Brown,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Green,Blue tint,White,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Gold,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Red,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Olive,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Purple,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Copper,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Brown,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Aqua,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Orange,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Purple,Blue tint,,HK
1968,Custom Camaro,1968 Hot Wheels,Spectraflame Creamy Pink,Blue tint,,HK
2018,Custom Camaro,RLC Special Edition,White,Blue,White,China
2018,Custom Camaro,RLC Special Edition,Light blue resin,Clear,Ivory,China
2018,Custom Camaro,HWC.com Original 16 Display Set,Spectraflame Brown,Blue,Tan,China
2019,Custom Camaro,19th Annual Hot Wheels Collectors Nationals 2/3,Metallic Pink,Light smoke tint,Black,China
2019,Custom Camaro,RLC Membership,Spectraflame Black,Clear,Red w/ Black steering wheel,China
2022,Custom Camaro,RLC Exclusive,Spectraflame Shadowchrome,Tinted,Black,China
2022,Custom Camaro,RLC Exclusive,Spectraflame Shadowchrome,Tinted,Black,China
1968,Custom Corvette,Sweet Sixteen,Spectraflame Red,Clear,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Red,Clear,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Red,Clear,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Red,Clear,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Red,Clear,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Red,Clear,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Olive,Clear,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Olive,Clear,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Olive,Clear,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Green,,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Green,,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Green,,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Blue,,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Blue,,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Blue,,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Rose,Clear,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Rose,Clear,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Rose,Clear,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Orange,,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Orange,,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Orange,,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Purple,Clear,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Purple,Clear,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Purple,Clear,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Antifreeze Lime,Clear,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Antifreeze Lime,Clear,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Antifreeze Lime,Clear,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Aqua,,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Aqua,,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Aqua,,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Gold,,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Gold,,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Gold,,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Magenta,,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Magenta,,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Magenta,,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Windex Blue,,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Windex Blue,,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Windex Blue,,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Light Blue / Ice Blue,,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Light Blue / Ice Blue,,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Light Blue / Ice Blue,,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Yellow,,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Yellow,,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Yellow,,Champagne,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Brown,,Brown,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Brown,,White,United States
1968,Custom Corvette,Sweet Sixteen,Spectraflame Brown,,Champagne,United States
1968,Custom Corvette,Sweet 16,Spectraflame Red,Blue tint,White,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Red,Blue tint,Brown,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Red,Blue tint,Champagne,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Olive,Blue tint,Brown,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Olive,Blue tint,White,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Olive,Blue tint,Champagne,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Blue,Blue tint,Brown,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Blue,Blue tint,White,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Blue,Blue tint,Champagne,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Aqua,Blue tint,Brown,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Aqua,Blue tint,White,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Aqua,Blue tint,Champagne,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Green,Blue tint,Brown,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Green,Blue tint,White,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Green,Blue tint,Champagne,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Purple,Blue tint,White,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Purple,Blue tint,Champagne,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Purple,Blue tint,Brown,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Brown,Blue tint,Champagne,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Brown,Blue tint,White,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Brown,Blue tint,Brown,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Orange,Blue tint,White,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Orange,Blue tint,Brown,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Orange,Blue tint,Champagne,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Gold,Blue tint,Brown,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Gold,Blue tint,White,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Gold,Blue tint,Champagne,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Creamy Pink,Blue tint,Brown,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Creamy Pink,Blue tint,White,Hong Kong
1968,Custom Corvette,Sweet 16,Spectraflame Creamy Pink,Blue tint,Champange,Hong Kong
2005,Custom Corvette,HWC.com 4 Neo Classics 5/6,Spectraflame Pink,Clear,Tan,China
2007,Custom Corvette,RLC Rewards 4/4,White,Light blue tint,White,China
2018,Custom Corvette,HWC.com Original 16 Display,Spectraflame Ice Blue,Light blue tint,Blue,
2018,Custom Corvette,HWC.com Original 16,Spectraflame Brown,Light blue tint,Tan,China
2019,Custom Corvette,19th Annual Hot Wheels Nationals Convention,Spectraflame Pink,Light blue tint,White,China
2022,Custom Corvette,RLC Exclusive,Spectraflame Black,Tinted,Black,China
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Blue,,White,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Lime Green,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Green,,White,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Orange,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Olive,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Gold,,Dark,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Purple,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Aqua,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Antifreeze,,Dark,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Red,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Light Blue,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Brown,,,
1968,Custom Cougar (1968),1968 Hot Wheels,,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Blue,,Blue,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Blue,,Dark,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Orange,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Olive,,Dark,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Gold,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Red,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Aqua,,White,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Green,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Purple,,,
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Lime Green,,,USA
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Blue,,,USA
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Blue,,,HK
1968,Custom Cougar (1968),1968 Hot Wheels,Spectraflame Orange,Tinted Blue,Orange,HK
2018,Custom Cougar (1968),HotWheelsCollectors.com Original 16,Spectraflame Orange,Tinted Blue,White,China
2018,Custom Cougar (1968),HotWheelsCollectors.com Original 16 Display Set,Spectraflame Purple,Tinted Blue,Purple,China
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Red,,White,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Olive,,light Brown,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Green,,light Brown,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Blue,,Brown,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Aqua,,Dark,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Gold,,White,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Brown,,,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Rose,,White,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Orange,,"White, Brown",USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Purple,,,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Lime Green,,,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Antifreeze,,White,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Copper,,Dark,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Magenta,,White,USA
1968,Custom Eldorado,Sweet Sixteen,"Spectraflame Blue ""windex""",,,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Light Blue,,,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Apple Green,,,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Hot Pink,,,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Yellow,,,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Creamy Pink,,White,USA
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Aqua,Tinted Blue,light Brown,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Blue,,,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Red,Tinted Blue,Brown,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Red,Tinted Blue,White,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Red,Tinted Blue,light Brown,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Green,Tinted Blue,Brown,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Brown,,,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Olive,,,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Copper,Tinted Blue,light Brown,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Purple,,,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Orange,,,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Gold,,,Hong Kong
1968,Custom Eldorado,Sweet Sixteen,Spectraflame Creamy Pink,,,Hong Kong
2018,Custom Eldorado,HWC.com Original 16 Display,Spectraflame Classic Yellow,Clear,White,China
2021,Custom Eldorado,RLC Exclusive,Spectraflame Party Pink,Light blue tint,White,China
1968,Custom Firebird,Sweet Sixteen,Spectraflame Red,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Green,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Blue,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Olive,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Orange,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Purple,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Gold,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Aqua,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Lime Green,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Antifreeze,,Dark,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Brown,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Rose,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Light Blue,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Dark Olive,,,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Red,Blue or Clear,Red,HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Red,Blue,White,HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Red,Blue,"Brown, Silver/Grey, White, Red",HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Blue,Blue or Clear,Blue,HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Blue,Blue,"White, Brown or Silver",HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Olive,Blue,"White, Brown or Silver",HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Gold,Blue,,HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Copper,Blue,,HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Purple,Blue,,HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Green,Blue,,HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Orange,Blue,Brown,HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Aqua,Blue,,HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Creamy Pink,Blue,,HK
1968,Custom Firebird,Sweet Sixteen,Spectraflame Red,,Dark,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Green,,Dark,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Olive,,Dark,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Aqua,,Dark,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Light Blue,,Dark,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Blue,,Dark,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame Antifreeze,,Dark,USA
1968,Custom Firebird,Sweet Sixteen,Spectraflame,,Dark,USA
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Purple,Blue Tint,,Hong Kong
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Orange,Blue Tint,,Hong Kong
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Aqua,Blue Tint,,Hong Kong
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Green,Blue Tint,,Hong Kong
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Copper,Blue Tint,Black,Hong Kong
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Blue,Blue Tint,,Hong Kong
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Red,Blue Tint,,Hong Kong
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Purple,Clear,,US
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Orange,Clear,,US
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Aqua,Clear,,US
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Green,Clear,,US
1968,Custom Fleetside,Sweet Sixteen,Spectraflame Red,Clear,,US
